year,region,bedrooms,price_per_room_adjusted
2015,College Park,0,1204.53
2015,College Park,1,1572.18
2015,College Park,2,1942.41
2015,College Park,3,2148.09
2015,College Park,4,1488.62
2015,College Park,5,2797.28
2015,College Park,median,1757.3
2016,College Park,0,1916.85
2016,College Park,1,1182.33
2016,College Park,2,1701.19
2016,College Park,3,1956.18
2016,College Park,4,2081.77
2016,College Park,5,1263.52
2016,College Park,median,1809.02
2017,College Park,0,1132.45
2017,College Park,1,1741.08
2017,College Park,2,2133.94
2017,College Park,3,1989.27
2017,College Park,4,1346.97
2017,College Park,5,3044.39
2017,College Park,median,1865.17
2018,College Park,0,1286.91
2018,College Park,1,1553.75
2018,College Park,2,2154.15
2018,College Park,3,1912.78
2018,College Park,4,1421.55
2018,College Park,5,3177.86
2018,College Park,median,1733.26
2019,College Park,0,1132.96
2019,College Park,1,1682.17
2019,College Park,2,2156.32
2019,College Park,3,1854.91
2019,College Park,4,1186.57
2019,College Park,5,3003.36
2019,College Park,median,1768.54
2020,College Park,0,1143.08
2020,College Park,1,1508.78
2020,College Park,2,2432.45
2020,College Park,3,1850.88
2020,College Park,4,1327.11
2020,College Park,5,2788.7
2020,College Park,median,1679.83
2021,College Park,0,1114.63
2021,College Park,1,1427.48
2021,College Park,2,2351.48
2021,College Park,3,2270.74
2021,College Park,4,1233.49
2021,College Park,5,2644.15
2021,College Park,median,1849.11
