Year,Region,Bedrooms,Price,,,,,,,,,,,,,,
2021,United States,0,998,,,,,,,,,,,,,,
2021,United States,1,1009,,,,,,,,,,,,,,
2021,United States,2,1150,,,,,,,,,,,,,,
2021,United States,3,1301,,,,,,,,,,,,,,
2021,United States,4,1620,,,,,,,,,,,,,,
2021,United States,5,1732,,,,,,,,,,,,,,
2021,Maryland,0,1186,,,,,,,,,,,,,,
2021,Maryland,1,1247,,,,,,,,,,,,,,
2021,Maryland,2,1528,,,,,,,,,,,,,,
2021,Maryland,3,1726,,,,,,,,,,,,,,
2021,Maryland,4,2065,,,,,,,,,,,,,,
2021,Maryland,5,2242,,,,,,,,,,,,,,
2021,Prince George's County,0,1290,,,,,,,,,,,,,,
2021,Prince George's County,1,1344,,,,,,,,,,,,,,
2021,Prince George's County,2,1660,,,,,,,,,,,,,,
2021,Prince George's County,3,1921,,,,,,,,,,,,,,
2021,Prince George's County,4,2219,,,,,,,,,,,,,,
2021,Prince George's County,5,2428,,,,,,,,,,,,,,
2021,College Park,0,994,,,,,,,,,,,,,,
2021,College Park,1,1273,,,,,,,,,,,,,,
2021,College Park,2,2097,,,,,,,,,,,,,,
2021,College Park,3,2025,,,,,,,,,,,,,,
2021,College Park,4,1100,,,,,,,,,,,,,,
2021,College Park,5,2358,,,,,,,,,,,,,,
2020,United States,0,928,,,,,,,,,,,,,,
2020,United States,1,947,,,,,,,,,,,,,,
2020,United States,2,1080,,,,,,,,,,,,,,
2020,United States,3,1223,,,,,,,,,,,,,,
2020,United States,4,1528,,,,,,,,,,,,,,
2020,United States,5,1629,,,,,,,,,,,,,,
2020,Maryland,0,1112,,,,,,,,,,,,,,
2020,Maryland,1,1183,,,,,,,,,,,,,,
2020,Maryland,2,1436,,,,,,,,,,,,,,
2020,Maryland,3,1666,,,,,,,,,,,,,,
2020,Maryland,4,1985,,,,,,,,,,,,,,
2020,Maryland,5,2158,,,,,,,,,,,,,,
2020,Prince George's County,0,1208,,,,,,,,,,,,,,
2020,Prince George's County,1,1276,,,,,,,,,,,,,,
2020,Prince George's County,2,1543,,,,,,,,,,,,,,
2020,Prince George's County,3,1854,,,,,,,,,,,,,,
2020,Prince George's County,4,2150,,,,,,,,,,,,,,
2020,Prince George's County,5,2350,,,,,,,,,,,,,,
2020,College Park,0,969,,,,,,,,,,,,,,
2020,College Park,1,1279,,,,,,,,,,,,,,
2020,College Park,2,2062,,,,,,,,,,,,,,
2020,College Park,3,1569,,,,,,,,,,,,,,
2020,College Park,4,1125,,,,,,,,,,,,,,
2020,College Park,5,2364,,,,,,,,,,,,,,
2019,United States,0,887,,,,,,,,,,,,,,
2019,United States,1,911,,,,,,,,,,,,,,
2019,United States,2,1044,,,,,,,,,,,,,,
2019,United States,3,1197,,,,,,,,,,,,,,
2019,United States,4,1488,,,,,,,,,,,,,,
2019,United States,5,1587,,,,,,,,,,,,,,
2019,Maryland,0,1053,,,,,,,,,,,,,,
2019,Maryland,1,1148,,,,,,,,,,,,,,
2019,Maryland,2,1413,,,,,,,,,,,,,,
2019,Maryland,3,1646,,,,,,,,,,,,,,
2019,Maryland,4,1979,,,,,,,,,,,,,,
2019,Maryland,5,2062,,,,,,,,,,,,,,
2019,Prince George's County,0,1193,,,,,,,,,,,,,,
2019,Prince George's County,1,1244,,,,,,,,,,,,,,
2019,Prince George's County,2,1500,,,,,,,,,,,,,,
2019,Prince George's County,3,1829,,,,,,,,,,,,,,
2019,Prince George's County,4,2126,,,,,,,,,,,,,,
2019,Prince George's County,5,2303,,,,,,,,,,,,,,
2019,College Park,0,951,,,,,,,,,,,,,,
2019,College Park,1,1412,,,,,,,,,,,,,,
2019,College Park,2,1810,,,,,,,,,,,,,,
2019,College Park,3,1557,,,,,,,,,,,,,,
2019,College Park,4,996,,,,,,,,,,,,,,
2019,College Park,5,2521,,,,,,,,,,,,,,
2018,United States,0,845,,,,,,,,,,,,,,
2018,United States,1,874,,,,,,,,,,,,,,
2018,United States,2,1002,,,,,,,,,,,,,,
2018,United States,3,1168,,,,,,,,,,,,,,
2018,United States,4,1453,,,,,,,,,,,,,,
2018,United States,5,1551,,,,,,,,,,,,,,
2018,Maryland,0,1001,,,,,,,,,,,,,,
2018,Maryland,1,1122,,,,,,,,,,,,,,
2018,Maryland,2,1373,,,,,,,,,,,,,,
2018,Maryland,3,1610,,,,,,,,,,,,,,
2018,Maryland,4,1933,,,,,,,,,,,,,,
2018,Maryland,5,2060,,,,,,,,,,,,,,
2018,Prince George's County,0,1159,,,,,,,,,,,,,,
2018,Prince George's County,1,1200,,,,,,,,,,,,,,
2018,Prince George's County,2,1448,,,,,,,,,,,,,,
2018,Prince George's County,3,1787,,,,,,,,,,,,,,
2018,Prince George's County,4,2078,,,,,,,,,,,,,,
2018,Prince George's County,5,2299,,,,,,,,,,,,,,
2018,College Park,0,1061,,,,,,,,,,,,,,
2018,College Park,1,1281,,,,,,,,,,,,,,
2018,College Park,2,1776,,,,,,,,,,,,,,
2018,College Park,3,1577,,,,,,,,,,,,,,
2018,College Park,4,1172,,,,,,,,,,,,,,
2018,College Park,5,2620,,,,,,,,,,,,,,
2017,United States,0,803,,,,,,,,,,,,,,
2017,United States,1,836,,,,,,,,,,,,,,
2017,United States,2,964,,,,,,,,,,,,,,
2017,United States,3,1133,,,,,,,,,,,,,,
2017,United States,4,1411,,,,,,,,,,,,,,
2017,United States,5,1509,,,,,,,,,,,,,,
2017,Maryland,0,947,,,,,,,,,,,,,,
2017,Maryland,1,1083,,,,,,,,,,,,,,
2017,Maryland,2,1324,,,,,,,,,,,,,,
2017,Maryland,3,1566,,,,,,,,,,,,,,
2017,Maryland,4,1884,,,,,,,,,,,,,,
2017,Maryland,5,2076,,,,,,,,,,,,,,
2017,Prince George's County,0,1076,,,,,,,,,,,,,,
2017,Prince George's County,1,1156,,,,,,,,,,,,,,
2017,Prince George's County,2,1401,,,,,,,,,,,,,,
2017,Prince George's County,3,1749,,,,,,,,,,,,,,
2017,Prince George's County,4,2041,,,,,,,,,,,,,,
2017,Prince George's County,5,2215,,,,,,,,,,,,,,
2017,College Park,0,908,,,,,,,,,,,,,,
2017,College Park,1,1396,,,,,,,,,,,,,,
2017,College Park,2,1711,,,,,,,,,,,,,,
2017,College Park,3,1595,,,,,,,,,,,,,,
2017,College Park,4,1080,,,,,,,,,,,,,,
2017,College Park,5,2441,,,,,,,,,,,,,,
2016,United States,0,765,,,,,,,,,,,,,,
2016,United States,1,801,,,,,,,,,,,,,,
2016,United States,2,932,,,,,,,,,,,,,,
2016,United States,3,1105,,,,,,,,,,,,,,
2016,United States,4,1375,,,,,,,,,,,,,,
2016,United States,5,1462,,,,,,,,,,,,,,
2016,Maryland,0,897,,,,,,,,,,,,,,
2016,Maryland,1,1040,,,,,,,,,,,,,,
2016,Maryland,2,1280,,,,,,,,,,,,,,
2016,Maryland,3,1510,,,,,,,,,,,,,,
2016,Maryland,4,1842,,,,,,,,,,,,,,
2016,Maryland,5,2005,,,,,,,,,,,,,,
2016,Prince George's County,0,1011,,,,,,,,,,,,,,
2016,Prince George's County,1,1120,,,,,,,,,,,,,,
2016,Prince George's County,2,1356,,,,,,,,,,,,,,
2016,Prince George's County,3,1727,,,,,,,,,,,,,,
2016,Prince George's County,4,2029,,,,,,,,,,,,,,
2016,Prince George's County,5,2154,,,,,,,,,,,,,,
2016,College Park,0,1511,,,,,,,,,,,,,,
2016,College Park,1,932,,,,,,,,,,,,,,
