Year,Month,CPI-U
2014,Jan,233.916
2014,Feb,234.781
2014,Mar,236.293
2014,Apr,237.072
2014,May,237.9
2014,Jun,238.343
2014,Jul,238.25
2014,Aug,237.852
2014,Sep,238.031
2014,Oct,237.433
2014,Nov,236.151
2014,Dec,234.812
2015,Jan,233.707
2015,Feb,234.722
2015,Mar,236.119
2015,Apr,236.599
2015,May,237.805
2015,Jun,238.638
2015,Jul,238.654
2015,Aug,238.316
2015,Sep,237.945
2015,Oct,237.838
2015,Nov,237.336
2015,Dec,236.525
2016,Jan,236.916
2016,Feb,237.111
2016,Mar,238.132
2016,Apr,239.261
2016,May,240.229
2016,Jun,241.018
2016,Jul,240.628
2016,Aug,240.849
2016,Sep,241.428
2016,Oct,241.729
2016,Nov,241.353
2016,Dec,241.432
2017,Jan,242.839
2017,Feb,243.603
2017,Mar,243.801
2017,Apr,244.524
2017,May,244.733
2017,Jun,244.955
2017,Jul,244.786
2017,Aug,245.519
2017,Sep,246.819
2017,Oct,246.663
2017,Nov,246.669
2017,Dec,246.524
2018,Jan,247.867
2018,Feb,248.991
2018,Mar,249.554
2018,Apr,250.546
2018,May,251.588
2018,Jun,251.989
2018,Jul,252.006
2018,Aug,252.146
2018,Sep,252.439
2018,Oct,252.885
2018,Nov,252.038
2018,Dec,251.233
2019,Jan,251.712
2019,Feb,252.776
2019,Mar,254.202
2019,Apr,255.548
2019,May,256.092
2019,Jun,256.143
2019,Jul,256.571
2019,Aug,256.558
2019,Sep,256.759
2019,Oct,257.346
2019,Nov,257.208
2019,Dec,256.974
2020,Jan,257.971
2020,Feb,258.678
2020,Mar,258.115
2020,Apr,256.389
2020,May,256.394
2020,Jun,257.797
2020,Jul,259.101
2020,Aug,259.918
2020,Sep,260.28
2020,Oct,260.388
2020,Nov,260.229
2020,Dec,260.474
2021,Jan,261.582
2021,Feb,263.014
2021,Mar,264.877
2021,Apr,267.054
2021,May,269.195
2021,Jun,271.696
2021,Jul,273.003
2021,Aug,273.567
2021,Sep,274.31
2021,Oct,276.589
2021,Nov,277.948
2021,Dec,278.802
2022,Jan,281.148
2022,Feb,283.716
2022,Mar,287.504
2022,Apr,289.109
2022,May,292.296
2022,Jun,296.311
2022,Jul,296.276
2022,Aug,296.171
2022,Sep,296.808
2022,Oct,298.012
2022,Nov,297.711
2022,Dec,296.797
2023,Jan,299.17
2023,Feb,300.84
2023,Mar,301.836
2023,Apr,303.363
2023,May,304.127
2023,Jun,305.109
2023,Jul,305.691
2023,Aug,307.026
2023,Sep,307.789
2023,Oct,307.671
2023,Nov,307.051
2023,Dec,306.746
2024,Jan,308.417
2024,Feb,310.326
2024,Mar,312.332
2024,Apr,313.548
2024,May,314.069
2024,Jun,314.175
2024,Jul,314.54
2024,Aug,314.796
2024,Sep,315.301
2024,Oct,315.664
2024,Nov,315.493
2024,Dec,315.605
2013,Jan,230.28
2013,Feb,232.166
2013,Mar,232.773
2013,Apr,232.531
2013,May,232.945
2013,June,233.504
2013,July,233.596
2013,Aug,233.877
2013,Sep,234.149
2013,Oct,233.546
2013,Nov,233.069
2013,Dec,233.049
2010,Jan,216.687
2010,Feb,216.741
2010,Mar,217.631
2010,Apr,218.009
2010,May,218.178
2010,June,217.965
2010,July,218.011
2010,Aug,218.312
2010,Sep,218.439
2010,Oct,218.711
2010,Nov,218.803
2010,Dec,219.179
2011,Jan,220.223
2011,Feb,221.309
2011,Mar,223.467
2011,Apr,224.906
2011,May,225.964
2011,June,225.722
2011,July,225.922
2011,Aug,226.545
2011,Sep,226.889
2011,Oct,226.421
2011,Nov,226.23
2011,Dec,225.672
2012,Jan,226.655
2012,Feb,227.663
2012,Mar,229.392
2012,Apr,230.085
2012,May,229.815
2012,June,229.478
2012,July,229.104
2012,Aug,230.379
2012,Sep,231.407
2012,Oct,231.317
2012,Nov,230.221
2012,Dec,229.601
